playerID,year,stint,tmID,GP,oRebounds,dRebounds,dq,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,ft%,fg%,three%,gs%,Postft%,Postfg%,Postthree%,Postgs%,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,pp36,defensive_prowess,defensive_discipline,mpg,pos,college,playoff,confID,playoff_progression,height,weight,award_count
27,4,0,559,16,1.62,2.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.38,0.39,1.0,0.0,0.0,0.0,0.0,0.9,0.94,5.5,4.06,1.44,0.69,0.44,-66.87,7.92,35.6,6.76,24.75,2,595,0,697,0,71.0,165,0
27,5,0,559,34,0.97,0.88,0.0,6.5,1.17,0.67,0.67,1.33,0.83,0.5,0.17,0.17,1.67,0.0,0.71,0.3,0.5,0.06,0.25,0.27,0.0,0.0,0.66,0.82,1.97,1.85,0.91,0.68,0.06,-75.53,6.12,16.200000000000003,3.64,11.82,2,595,1,697,4,71.0,165,0
28,1,0,559,31,0.87,1.84,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.42,0.11,0.74,0.0,0.0,0.0,0.0,0.84,0.88,6.74,2.71,1.06,0.61,1.06,-199.82,10.799999999999999,35.2,10.64,22.74,3,596,0,697,0,77.0,185,0
28,2,0,559,20,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.39,1.0,0.15,0.0,0.0,0.0,0.0,0.8,0.96,3.4,1.7,0.55,0.45,0.3,-51.6,10.799999999999999,17.5,4.5,11.45,3,596,0,697,0,77.0,185,0
28,3,0,567,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.5,0.5,0.0,0.5,1.0,-4.5,8.280000000000001,20.0,1.0,6.5,3,596,0,697,0,77.0,185,0
29,6,0,559,29,0.9,2.34,0.03,14.33,4.67,0.67,2.67,3.33,0.0,0.0,0.67,1.67,2.67,0.0,0.78,0.44,0.29,0.0,0.4,0.5,0.0,0.0,0.88,1.0,6.86,3.24,0.9,0.59,0.83,-130.57999999999998,15.48,37.599999999999994,8.06,15.9,3,578,1,697,1,76.0,203,0
29,10,0,559,20,0.45,1.0,0.0,28.67,12.67,0.0,3.33,3.33,0.0,1.33,2.33,2.33,3.0,0.0,0.25,0.49,0.27,0.0,0.75,0.5,0.54,0.0,1.04,1.02,2.35,1.45,0.2,0.25,0.3,-47.45,11.52,15.5,5.3,7.35,3,578,1,697,1,76.0,203,0
30,6,0,551,8,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0,0.12,-7.88,0.0,7.5,1.76,5.75,2,577,0,697,0,73.0,163,0
30,7,0,565,26,0.5,0.46,0.0,2.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.57,0.28,0.14,0.04,0.0,0.0,0.0,0.0,0.6,0.64,1.38,0.96,0.27,0.08,0.12,-43.19,7.2,6.5,1.92,6.85,2,577,1,698,4,73.0,163,0
31,6,0,559,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,2.0,4.0,2,571,1,697,1,72.0,170,0
31,7,0,558,33,0.39,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.38,0.33,0.06,0.0,0.0,0.0,0.0,0.88,0.94,4.33,1.88,0.88,0.94,0.09,-121.88,11.16,25.2,4.24,13.79,2,571,0,698,0,72.0,170,0
31,8,0,558,34,0.94,2.76,0.0,21.0,3.67,0.0,2.33,2.33,1.33,0.33,0.0,0.33,2.67,0.0,0.78,0.36,0.31,0.15,0.5,0.36,0.0,0.0,0.84,0.94,7.41,3.71,1.65,1.03,0.06,-202.14,11.88,38.5,5.76,22.26,2,571,1,698,1,72.0,170,0
31,9,0,558,34,0.53,1.03,0.0,15.5,3.17,0.33,1.83,2.17,1.5,0.83,0.17,0.5,0.83,0.0,0.72,0.38,0.37,0.0,0.0,0.36,0.33,0.0,0.86,1.0,3.56,1.56,0.71,0.44,0.03,-96.7,12.959999999999999,15.0,3.18,9.88,2,571,1,698,2,72.0,170,0
31,10,0,558,34,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.43,0.41,0.09,0.0,0.0,0.0,0.0,0.98,1.06,5.21,2.5,1.18,0.91,0.06,-141.14,11.52,29.700000000000003,5.88,16.12,2,571,0,698,0,72.0,170,0
32,1,0,561,29,0.69,1.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.4,0.0,0.62,0.0,0.0,0.0,0.0,0.8,0.94,2.62,1.93,0.48,0.28,0.1,-68.59,6.84,16.200000000000003,6.9,13.72,4,597,0,698,0,76.0,180,0
32,2,0,555,15,0.53,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.7,1.0,1.2,0.2,0.13,0.07,-20.4,5.3999999999999995,8.7,2.4,6.8,4,597,0,698,0,76.0,180,0
32,3,0,557,25,0.56,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.08,0.0,0.0,0.0,0.0,0.6,0.68,1.72,1.64,0.04,0.08,0.2,-67.32,6.4799999999999995,13.600000000000001,4.72,9.32,4,597,0,697,0,76.0,180,0
33,5,0,555,34,0.82,3.38,0.0,34.0,16.67,0.67,4.33,5.0,3.0,2.0,2.67,3.33,2.67,0.0,0.72,0.42,0.38,1.0,1.0,0.44,0.25,1.0,0.9,1.0,13.12,4.21,2.68,2.03,1.0,-319.96000000000004,15.84,64.1,10.48,30.15,5,592,1,698,1,71.0,160,0
33,6,0,555,30,0.83,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.38,0.32,1.0,0.0,0.0,0.0,0.0,0.84,0.92,14.07,4.33,3.0,1.5,0.3,-317.8,15.12,53.0,10.0,33.83,5,592,0,698,0,71.0,160,0
33,7,0,555,32,0.72,3.94,0.12,32.0,15.0,1.0,4.0,5.0,1.0,3.0,1.0,2.0,3.0,0.0,0.76,0.49,0.36,1.0,0.9,0.28,0.2,1.0,1.06,1.14,19.19,4.66,3.06,1.84,0.78,-333.47,22.32,65.6,11.38,31.06,5,592,1,698,1,71.0,160,0
33,8,0,555,33,0.76,3.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.42,0.32,1.0,0.0,0.0,0.0,0.0,0.92,1.02,18.85,4.21,3.0,1.94,0.73,-403.27,19.080000000000002,61.2,12.06,35.42,5,592,0,698,0,71.0,160,0
33,9,0,555,33,0.12,3.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.39,0.35,1.0,0.0,0.0,0.0,0.0,0.9,0.98,16.12,3.58,3.55,1.67,0.58,-406.5,17.64,57.0,13.16,33.09,5,592,0,698,0,71.0,160,0
33,10,0,555,31,0.61,3.35,0.06,27.0,9.5,0.5,1.5,2.0,2.5,1.0,0.0,0.0,3.0,0.0,0.74,0.43,0.3,0.97,0.67,0.31,0.12,1.0,0.94,1.0,15.87,3.97,2.19,2.32,0.58,-355.07,18.0,62.599999999999994,12.7,31.77,5,592,1,698,1,71.0,160,0
34,9,0,559,17,0.12,0.59,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.44,0.67,0.0,0.0,0.0,0.0,0.0,1.34,1.46,1.0,0.71,0.35,0.24,0.12,-7.58,6.4799999999999995,9.399999999999999,1.3,5.47,1,573,1,697,1,68.0,125,0
35,6,0,564,10,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.92,0.9,0.6,0.4,0.1,0.1,-7.9,6.12,5.0,1.8,5.2,2,580,1,698,2,75.0,185,0
36,9,0,560,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,3.0,3,598,1,697,3,76.0,0,0
37,3,0,562,5,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.92,1.6,0.8,0.0,0.0,0.0,-3.5999999999999996,18.0,2.0,2.0,3.2,4,582,0,698,0,74.0,188,0
37,4,0,562,22,0.91,1.0,0.0,4.33,1.33,0.67,0.67,1.33,0.33,0.33,0.33,0.67,1.67,0.0,0.65,0.52,0.0,0.18,0.0,0.22,0.0,0.0,1.04,1.16,3.82,1.91,0.27,0.45,0.18,-56.370000000000005,15.12,16.4,5.46,9.14,4,582,1,698,1,74.0,188,0
37,5,0,554,16,0.75,0.94,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.88,2.31,1.69,0.25,0.38,0.12,-31.25,10.080000000000002,14.399999999999999,4.62,8.38,4,582,0,697,0,74.0,188,0
