,year,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,GP,min,attend,count,tmID_ATL,tmID_CHA,tmID_CHI,tmID_CLE,tmID_CON,tmID_DET,tmID_HOU,tmID_IND,tmID_LAS,tmID_MIA,tmID_MIN,tmID_NYL,tmID_ORL,tmID_PHO,tmID_POR,tmID_SAC,tmID_SAS,tmID_SEA,tmID_UTA,tmID_WAS
44,3,780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,0,0,0,0,0,0,32,6575,144179,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
45,3,794,1948,418,543,182,506,362,633,995,514,623,282,477,151,2188,783,1818,435,587,102,342,307,662,969,488,563,254,531,125,2103,0,0,0,0,0,0,32,6450,111774,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
47,3,806,1910,359,478,164,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,0,0,0,0,0,0,32,6450,259237,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48,4,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0,0,0,0,0,0,34,6850,120061,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,4,864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0,0,0,0,0,0,34,6875,102433,4.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,4,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,34,6900,133647,11.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,4,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,34,6825,150203,17.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,4,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,0,0,0,0,0,0,34,6875,141778,11.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54,4,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,34,6900,157934,22.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55,4,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,0,0,0,0,0,0,34,6850,120253,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
56,4,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,0,0,0,0,0,0,34,6850,212346,5.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
57,4,801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,0,0,0,0,0,0,34,6925,144511,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
58,4,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,34,6825,155578,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
59,4,792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,2427,0,0,0,0,0,0,34,6825,176526,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
60,4,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,0,0,0,0,0,0,34,6850,120857,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
61,4,896,2191,381,507,157,505,382,703,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,334,781,1115,591,565,251,468,119,2498,0,0,0,0,0,0,34,6875,238710,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62,5,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,0,0,0,0,0,0,34,6900,116383,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,5,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,34,6900,114017,4.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,5,874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,0,0,0,0,0,0,34,6850,160860,11.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,5,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,0,0,0,0,0,0,34,6850,137455,17.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,5,791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,0,0,0,0,0,0,34,6850,128989,11.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
67,5,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,34,6975,177269,22.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
68,5,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0,0,0,0,0,0,34,6850,125097,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
69,5,819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,2297,0,0,0,0,0,0,34,6900,168062,5.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
70,5,826,1922,456,598,192,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,0,0,0,0,0,0,34,6825,136295,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
71,5,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,0,0,0,0,0,0,34,6900,147544,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
72,5,812,1940,488,628,79,247,302,701,1003,493,628,272,513,106,2191,888,2003,416,564,172,469,324,710,1034,575,624,280,492,129,2364,0,0,0,0,0,0,34,6875,142717,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
73,5,873,2025,524,676,167,439,350,709,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,2264,0,0,0,0,0,0,34,6825,134291,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
74,5,873,2088,474,661,105,283,337,726,1063,467,652,255,424,128,2325,864,2013,510,686,146,425,336,770,1106,534,627,237,492,111,2384,0,0,0,0,0,0,34,6850,214448,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,6,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,0,0,0,0,0,0,34,6945,98054,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
